burn,1Stage,2Stage,3Stage,4Stage,5Stage,6Stage,E1Stage,E2Stage,E3Stage,E4Stage,E5Stage,E6Stage,C1Stage,C2Stage,C3Stage,C4Stage,C5Stage,C6Stage,S1Stage,S2Stage,S3Stage,S4Stage,S5Stage,S6Stage,O1Stage,O2Stage,O3Stage,O4Stage,O5Stage,O6Stage
0,298750.,512750.4909102426,726750.,940750.8927053222,1.15475e6,1.36875e6,55.381903338828124,120.90577451139688,182.30091301491484,232.42590797191951,293.12957610655576,348.327891580062,17616,15787,15962,17643,17442,17862,1.,1.7163196348460004,2.4326359832635984,3.148956963030367,3.8652719665271964,4.581589958158996,0.,71.63196348460004,143.2635983263598,214.89569630303671,286.5271966527196,358.1589958158996
50,323750.,537749.0328216648,749250.,960752.0299007604,1.17975e6,1.38375e6,58.50835486903088,120.0006433527451,182.28949070954695,247.8327196855098,297.42447206610814,367.49170195357874,15784,16026,15964,15518,16942,16048,0.9999999999999999,1.6610008735804318,2.314285714285714,2.967573837531306,3.644015444015444,4.274131274131274,0.,66.10008735804318,131.42857142857142,196.7573837531306,264.4015444015444,327.41312741312737
100,348750.21137478156,562750.4795495329,771750.,990750.,1.204181092694905e6,1.4137472804305507e6,55.18641497835051,119.49827710632235,178.62274127500132,242.2448946776567,498.7824272136204,352.2552753223572,17741,16161,16626,16242,16290,17466,0.9999999999999999,1.613620468733645,2.2129018845830752,2.8408584932305563,3.4528469185667143,4.053753185861954,0.,61.36204687336452,121.29018845830753,184.08584932305564,245.28469185667143,305.3753185861954
150,373750.,587750.,801749.266129536,1.0107519074724476e6,1.2297488781596138e6,1.4437459311290046e6,55.11964411800727,121.27128627174534,182.02168271364644,240.24120051495265,291.7691507493146,351.8022776276339,17784,15692,16011,16514,17605,17511,1.,1.5725752508361204,2.145148538139227,2.704352929692168,3.290298001764853,3.8628653675692433,0.,57.25752508361204,114.51485381392268,170.43529296921676,229.0298001764853,286.2865367569243
300,448750.2172024327,662750.4418723986,876749.3453674299,1.0907508887760285e6,1.3047477893440789e6,1.5187471191169336e6,55.942142271320336,114.70695027336478,171.91240465221927,231.91372689628042,289.61349253798835,362.5540550448932,17265,17539,17949,17721,17868,16488,1.,1.4768804926804742,1.9537580412399564,2.4306414726123404,2.9075145578269503,3.384393056308699,0.,47.68804926804742,95.37580412399565,143.064147261234,190.75145578269502,238.43930563086988
450,523750.2107807318,737750.,951750.,1.160751776649746e6,1.37975e6,1.5937486720715684e6,55.108797263295855,114.04870962561108,178.25850157730747,231.85484560532495,305.6936413634103,348.1038023480214,17791,17742,16694,17730,16038,17885,1.,1.4085913185605559,1.817183039566261,2.2162316172044374,2.634366481577671,3.0429556671601836,0.,40.859131856055576,81.71830395662609,121.62316172044372,163.43664815776708,204.29556671601833
600,598750.2074688796,812750.4509222086,1.026749271046591e6,1.2407509510295272e6,1.45475e6,1.66875e6,54.674057291820645,115.87586158397608,181.41074011602905,239.8999876906164,291.9765760174487,348.46450545825064,18075,17187,16119,16561,17580,17848,1.,1.3574115562447664,1.7148207353230134,2.0722346907813236,2.4296442520658523,2.7870554017081224,0.,35.74115562447663,71.48207353230134,107.22346907813238,142.96442520658525,178.70554017081227
900,748750.,962750.4443043055,1.1767493480552628e6,1.390751912568306e6,1.6047488247545373e6,1.81875e6,55.37247239355929,115.02223179792054,171.5590499714017,240.56195810018107,298.63460855791345,351.892741947202,17622,17443,18023,16470,16805,17502,1.,1.2858102761994064,1.5716184948985146,1.8574316027623452,2.143237161608731,2.4290484140233723,0.,28.58102761994063,57.161849489851456,85.74316027623453,114.32371616087309,142.9048414023372
1200,898750.2218803621,1.1127495570669258e6,1.3267486051756884e6,1.540751968503937e6,1.7547488281018217e6,1.9687486835541266e6,56.54147198284045,114.84456658223644,177.4417734486051,244.05512709147297,298.20893964054994,346.5952263912186,16901,17497,16848,16002,16853,18041,0.9999999999999999,1.2381076855133732,1.4762150516078532,1.7143272190580168,1.952432150092316,2.190540414482588,0.,23.81076855133732,47.621505160785325,71.43272190580169,95.24321500923162,119.05404144825881
2100,1.3487502127901039e6,1.5627486857724267e6,1.77675e6,1.9907517071320182e6,2.204748871622008e6,2.4187486553813056e6,55.370900948764756,114.21301247389056,174.0943039106205,227.27265337202698,292.61823437782004,350.28498928807676,17623,17691,17502,18452,17503,17663,1.,1.1586642737498687,1.3173306540760505,1.4759973257122476,1.6346606293104005,1.7933258749058805,0.,15.866427374986877,31.733065407605064,47.599732571224756,63.46606293104006,79.33258749058805
