pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,__fw_block,__fw_release,activate_task,fw_request,fw_schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,E__fw_block,E__fw_release,Eactivate_task,Efw_request,Efw_schedule,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,C__fw_block,C__fw_release,Cactivate_task,Cfw_request,Cfw_schedule,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,EL__fw_block,EL__fw_release,ELactivate_task,ELfw_request,ELfw_schedule,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ER__fw_block,ER__fw_release,ERactivate_task,ERfw_request,ERfw_schedule
2,17.26259135216196,290.5300315807411,290.0179874876997,268.971117447907,0.724942015618552,0.7879702648675662,268.20077158584377,1.2866687654826872,2.942183182642237,0.12872575505465988,0.11140433676797556,0.12513632631026894,0.2441245662835172,0.001352440348655004,0.0199663609294648,0.251334136304024,0.00044830677869223123,0.0010172200131095543,4001,1813352,1367854,456347,443447,4002,460348,3221340,1815303,17.1338655971073,290.4186272439731,289.89285116138944,268.72699288162346,0.723589575269897,0.7680039039381014,267.94943744953974,1.286220458703995,2.9411659626291273,17.39131710721662,290.64143591750906,290.14312381401,269.2152420141905,0.726294455967207,0.807936625797031,268.4521057221478,1.2871170722613794,2.9432004026553464
3,16.186893526618345,92.84497099347146,82.10216826503924,89.42238043824756,0.7782643517201642,0.8753248375812095,88.98545058427678,1.4320523207190323,3.275762341458411,0.1025243717705564,0.29624358089157,0.313357958937857,0.36408446629565105,0.0022104971435780163,0.024827194844403322,0.359518092114385,0.0013068664226052462,0.0029224563271421644,4001,349542,209901,144302,137109,4002,148303,576330,351012,16.08436915484779,92.5487274125799,81.78881030610138,89.0582959719519,0.7760538545765862,0.8504976427368062,88.62593249216239,1.430745454296427,3.272839885131269,16.2894178983889,93.14121457436303,82.4155262239771,89.78646490454321,0.7804748488637422,0.9001520324256128,89.34496867639116,1.4333591871416376,3.2786847977855533
4,16.22507698075481,57.153239361870604,59.63968403364281,50.94045088625665,0.7348654765871979,0.8504272863568215,51.3504895181901,1.4775824338674926,3.2827486615722123,0.10588923344715084,0.28173331685562886,0.2414468906161389,0.24530415154322327,0.002076927647394755,0.025314117287102422,0.24008494559257088,0.001708502168560777,0.003180928318736509,4001,284143,171686,117686,111029,4002,121687,292859,286717,16.11918774730766,56.871506045014975,59.39823714302667,50.695146734713425,0.7327885489398032,0.8251131690697191,51.11040457259753,1.4758739316989318,3.279567733253476,16.33096621420196,57.43497267872623,59.88113092425895,51.18575503779987,0.7369424042345927,0.8757414036439239,51.59057446378267,1.4792909360360533,3.285929589890949
8,16.68524943764059,32.23509670425674,30.66244608246749,29.322867883815793,0.723280758488902,0.8896979010494752,30.423028086639178,1.4604096577855434,3.285953391946851,0.12575663503250567,0.26576570635018726,0.13134394218278445,0.08323088458877592,0.0020501270444310826,0.027943435724161914,0.08235923765337816,0.0017955739657307124,0.0033852759032551027,4001,249534,153030,101494,95242,4002,105495,258113,252274,16.559492802608084,31.969330997906553,30.531102140284705,29.239636999227017,0.721230631444471,0.8617544653253133,30.3406688489858,1.4586140838198127,3.282568116043596,16.811006072673095,32.50086241060693,30.793790024650274,29.40609876840457,0.7253308855333331,0.9176413367736371,30.505387324292556,1.4622052317512741,3.289338667850106
12,16.189838790302424,29.571772321793258,28.278600685318874,26.66851924281931,0.7165749541884116,0.8725872063968017,27.83717823734543,1.4594992668650677,3.276184565493066,0.11781101130150162,0.2651646051434753,0.11138241747961075,0.05903512009577483,0.0019556154324686936,0.026959030586055865,0.059288052444507855,0.0018473064613686585,0.0034007783756999643,4001,244828,150295,98946,93317,4002,102947,253023,247614,16.072027779000923,29.306607716649783,28.167218267839264,26.609484122723536,0.7146193387559429,0.8456281758107458,27.777890184900922,1.457651960403699,3.272783787117366,16.307649801603926,29.836936926936733,28.389983102798485,26.727554362915086,0.7185305696208802,0.8995462369828575,27.896466289789938,1.4613465733264364,3.279585343868766
16,16.933315421144716,28.628054868254885,27.131839914514547,25.66973324694742,0.7106083942430865,0.8284427786106946,26.898548329275542,1.4569899043111108,3.2674593201133146,0.11653022701334947,0.263234788472662,0.09141895374581566,0.05226870665231331,0.001936747288011298,0.02390798798492655,0.05255369472183702,0.0018544984247792495,0.0033656837615230195,4001,244677,150201,100325,92897,4002,104326,254366,247100,16.816785194131366,28.364820079782223,27.04042096076873,25.617464540295106,0.7086716469550752,0.804534790625768,26.845994634553705,1.4551354058863315,3.2640936363517916,17.049845648158065,28.891289656727547,27.223258868260363,25.722001953599733,0.7125451415310978,0.8523507665956211,26.95110202399738,1.45884440273589,3.2708250038748377
20,16.802128717820548,27.91863254544633,26.06005386471498,25.32363467053035,0.6994938239472515,0.8858003498250875,26.570068034975048,1.3981358579000396,3.270424002079298,0.10635031620159552,0.2615757249437394,0.08906858468439438,0.05121283921239694,0.001894872422727123,0.030119491833270784,0.051525041652052295,0.001445176670834547,0.0034202850401201523,4001,243309,150024,99387,92211,4002,103388,410922,246237,16.695778401618952,27.65705682050259,25.970985280030586,25.272421831317953,0.6975989515245243,0.8556808579918167,26.518542993322995,1.396690681229205,3.2670037170391777,16.908479034022143,28.180208270390068,26.149122449399375,25.374847509742747,0.7013886963699786,0.9159198416583583,26.6215930766271,1.3995810345708741,3.273844287119418
24,15.806673831542115,27.85921541512591,25.946379347796935,24.877433264639354,0.7052391332795359,0.8876079460269866,26.09030074606672,1.3998089615382734,3.269237637833864,0.0911645836781485,0.2655955639401135,0.07046170875850066,0.04858211235987042,0.001865941602846255,0.029025219878246022,0.04921489693411374,0.0014591601316786829,0.0033692847195907483,4001,242035,149156,99475,91702,4002,103476,409394,244860,15.715509247863967,27.593619851185796,25.875917639038434,24.828851152279483,0.7033731916766897,0.8585827261487405,26.041085849132607,1.3983498014065947,3.265868353114273,15.897838415220264,28.124810979066023,26.016841056555435,24.926015376999224,0.7071050748823822,0.9166331659052326,26.139515643000834,1.401268121669952,3.2726069225534546
28,16.440456885778556,28.07585999061914,26.184067141586223,25.72448331933811,0.7752137993837291,0.9695557221389306,26.966017847300094,1.4645435829381135,3.3479977314976535,0.12157125279183134,0.2605504265910028,0.07787290327174645,0.049901364313353014,0.002413810099361813,0.03042151909341806,0.050636371699919636,0.0016888871248725845,0.003735952369968043,4001,247312,150622,101225,94439,4002,105226,413694,249063,16.318885632986724,27.815309564028137,26.106194238314476,25.674581955024756,0.7727999892843673,0.9391342030455125,26.915381475600174,1.462854695813241,3.3442617791276854,16.562028138570387,28.336410417210143,26.26194004485797,25.774384683651462,0.777627609483091,0.9999772412323487,27.016654219000014,1.466232470062986,3.3517336838676215
32,17.32161034741315,27.604910621551273,25.437751921953573,24.503802662658362,0.7032917215938673,0.8729272863568216,25.784915646672825,1.44879879943362,3.259008449488097,0.132743571677171,0.26965209484823305,0.06654118405932863,0.04204455927542483,0.0018972599744817575,0.027769545124654016,0.04289897341288196,0.001750781559224368,0.003359734326787933,4001,240125,148937,97797,90271,4002,101798,250715,243210,17.188866775735978,27.33525852670304,25.371210737894245,24.461758103382937,0.7013944616193856,0.8451577412321676,25.742016673259943,1.4470480178743956,3.255648715161309,17.45435391909032,27.874562716399506,25.504293106012902,24.545847221933787,0.7051889815683491,0.9006968314814756,25.827814620085707,1.4505495809928444,3.262368183814885
