pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,__schedule,__fw_release,activate_task,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,E__schedule,E__fw_release,Eactivate_task,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,C__schedule,C__fw_release,Cactivate_task,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,EL__schedule,EL__fw_release,ELactivate_task,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ER__schedule,ER__fw_release,ERactivate_task
4,1.5505111582263146e7,1.0759924786264762e8,1.2354392098458262e8,1.1012646132252921e8,1.3834614439305663e8,20500.,1.0798533458726646e8,573191.3490501735,207942.29006421566,357569.16665802896,254582.88886915147,410452.04719898105,0.,257636.1410048157,4127,270545,92039,174378,349629,4004,178505,1.4931920233212972e7,1.073913055725834e8,1.2318635181792459e8,1.0987187843366006e8,1.3793569234585765e8,20500.,1.0772769844626164e8,1.607830293131332e7,1.0780719015271184e8,1.2390149015124065e8,1.1038104421139836e8,1.387565964402556e8,20500.,1.0824297072827128e8
5,1.4275164647443663e7,7.436875836407344e7,8.764760944063674e7,7.952530368698269e7,8.508121541394958e7,20500.,7.760659008808483e7,356036.2843099218,207580.79854510725,414696.0916865915,235447.4420197457,346298.8132266551,0.,236110.30868208408,4127,186781,49753,132900,262230,4004,137027,1.3919128363133742e7,7.416117756552833e7,8.723291334895015e7,7.928985624496295e7,8.473491660072292e7,20500.,7.737047977940275e7,1.4631200931753585e7,7.457633916261855e7,8.806230553232333e7,7.976075112900244e7,8.542751422717623e7,20500.,7.784270039676692e7
6,1.3200011633543383e7,5.108212076839886e7,6.228166618442355e7,5.833697022093133e7,5.100314369039446e7,20500.,5.651166670184431e7,159221.58618464693,212529.222969383,471306.50731638074,232850.71256920695,288040.7136662975,0.,230187.19709520042,4126,128527,29031,95369,202477,4004,99495,1.3040790047358736e7,5.0869591545429476e7,6.181035967710717e7,5.810411950836212e7,5.071510297672816e7,20500.,5.628147950474911e7,1.335923321972803e7,5.129464999136824e7,6.275297269173993e7,5.8569820933500536e7,5.129118440406076e7,20500.,5.674185389893951e7
7,1.3046490671189725e7,3.671260783573939e7,4.5608615240914166e7,4.552599524887473e7,3.3358152398406833e7,20500.,4.3899238618632115e7,129106.91230293922,198124.08103945106,459975.9168518409,214688.82182184607,231856.66728303581,0.,209715.6403287053,4127,100718,20609,75982,173240,4004,80109,1.2917383758886786e7,3.651448375469994e7,4.5148639324062325e7,4.5311306427052885e7,3.31262957311238e7,20500.,4.368952297830341e7,1.3175597583492665e7,3.691073191677884e7,4.606859115776601e7,4.574068407069658e7,3.359000906568987e7,20500.,4.410895425896082e7
8,1.3044231402956143e7,2.8558244625096083e7,3.643196846793349e7,3.802946122967871e7,2.445236255697947e7,20500.,3.6582031127756365e7,125218.98649803735,187582.3317146115,441105.77034483105,200705.9212840423,199104.29407237843,0.,193955.7940184623,4127,85862,16840,64895,158171,4004,69022,1.2919012416458106e7,2.837066229338147e7,3.599086269758866e7,3.782875530839467e7,2.425325826290709e7,20500.,3.63880753337379e7,1.316945038945418e7,2.8745826956810694e7,3.687307423827832e7,3.8230167150962755e7,2.465146685105185e7,20500.,3.677598692177483e7
9,1.2782629876423553e7,2.1442443753197018e7,3.0003307083483916e7,3.104851653454967e7,1.7102726081240054e7,20500.,2.98063688160279e7,65290.43298904598,174459.98628132418,411947.4581351988,181617.82845697552,162573.8736721985,0.,173069.01935132965,4127,72333,13835,54371,144510,4004,58498,1.2717339443434507e7,2.1267983766915694e7,2.9591359625348717e7,3.0866898706092693e7,1.6940152207567856e7,20500.,2.963329979667657e7,1.2847920309412599e7,2.1616903739478342e7,3.0415254541619115e7,3.1230134363006644e7,1.7265299954912253e7,20500.,2.9979437835379228e7
10,1.2790697237702932e7,1.7977273923037e7,2.557280888906262e7,2.7853676208009183e7,1.4018384807953905e7,20500.,2.6762541440963328e7,64880.466996435076,159377.50505229086,372770.67718602717,168670.45123988762,142640.39336437918,0.,159537.70904154703,4127,67435,12791,50517,140409,4004,54644,1.2725816770706497e7,1.781789641798471e7,2.5200038211876594e7,2.7685005756769296e7,1.3875744414589526e7,20500.,2.660300373192178e7,1.2855577704699367e7,1.813665142808929e7,2.5945579566248648e7,2.802234665924907e7,1.4161025201318284e7,20500.,2.6922079150004875e7
12,1.270730361037073e7,1.2746681223513547e7,2.0445701385843348e7,2.3040390020954497e7,9.811416680247115e6,20500.,2.2248995382650554e7,50260.94125637226,128848.3708291743,292320.8724541068,135303.02202651277,106076.38553655148,0.,126788.68316057324,4127,62296,11401,46768,134998,4004,50895,1.2657042669114357e7,1.2617832852684373e7,2.015338051338924e7,2.2905086998927984e7,9.705340294710563e6,20500.,2.212220669948998e7,1.2757564551627101e7,1.2875529594342722e7,2.0738022258297455e7,2.317569304298101e7,9.917493065783666e6,20500.,2.2375784065811127e7
14,1.2643801429609885e7,1.0613706532912998e7,1.85300824080022e7,2.080020316321351e7,8.190970617693608e6,20500.,2.0137577840274706e7,29540.90662316233,127981.92205697484,251311.42935967445,124120.88178010657,97219.97476534266,0.,115228.14766125754,4127,58366,10897,43342,130793,4004,47469,1.2614260522986723e7,1.0485724610856023e7,1.8278770978642527e7,2.0676082281433403e7,8.093750642928265e6,20500.,2.002234969261345e7,1.2673342336233048e7,1.0741688454969972e7,1.8781393837361876e7,2.0924324044993617e7,8.28819059245895e6,20500.,2.0252805987935964e7
16,1.2603571601647686e7,7.841721249976196e6,1.6665998835742699e7,1.799176504109877e7,6.210995571691058e6,20500.,1.7511395062313415e7,18754.740229334682,111395.89001604822,200201.80260816403,100163.64315576106,80373.04923771787,0.,91668.19767814502,4127,52513,10307,38079,124088,4004,42206,1.2584816861418352e7,7.730325359960148e6,1.6465797033134533e7,1.789160139794301e7,6.13062252245334e6,20500.,1.741972686463527e7,1.262232634187702e7,7.953117139992245e6,1.6866200638350863e7,1.809192868425453e7,6.2913686209287755e6,20500.,1.760306325999156e7
