pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,activate_task,__schedule,__fw_release,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,Eactivate_task,E__schedule,E__fw_release,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,Cactivate_task,C__schedule,C__fw_release,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,ELactivate_task,EL__schedule,EL__fw_release,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ERactivate_task,ER__schedule,ER__fw_release
12,3.3176056810162313e7,1.2918088493351348e8,1.6167320515523356e8,1.3181794361352254e8,1.3024576549188396e8,1.644420195173636e8,20500.,1.2018427104531378e6,231351.99858693779,371199.2099544108,289457.37993878126,289439.605986014,417270.1036057472,0.,4251,430764,171709,254804,259055,591294,4004,3.1974214099709176e7,1.2894953293492654e8,1.6130200594527915e8,1.3152848623358376e8,1.2995632588589795e8,1.6402474941375786e8,20500.,3.437789952061545e7,1.2941223693210042e8,1.6204440436518797e8,1.3210740099346133e8,1.3053520509786998e8,1.6485928962096936e8,20500.
16,2.57529315455187e7,7.73504672495387e7,1.037978777973034e8,8.607956181217302e7,8.449636871822572e7,7.750993212490185e7,20500.,248876.5959612988,258972.14267256856,466241.2829774916,266311.28466400504,263669.31271725893,334702.530256927,0.,4251,221661,64303,153109,157360,366784,4004,2.55040549495574e7,7.709149510686614e7,1.033316365143259e8,8.581325052750902e7,8.423269940550846e7,7.717522959464492e7,20500.,2.600180814148e7,7.760943939221127e7,1.0426411908028089e8,8.634587309683703e7,8.476003803094298e7,7.784463465515877e7,20500.
20,2.419505283537347e7,4.846086143146502e7,7.234930244411692e7,6.205226519444987e7,6.060169506352123e7,3.9267849441188596e7,20500.,477.945856757462,267239.0690762624,511493.795985505,244671.8462278992,239351.11226078123,254210.6511124745,0.,4003,133793,32568,97223,101226,271648,4004,2.419457488951671e7,4.819362236238876e7,7.183780864813142e7,6.180759334822197e7,6.036234395126045e7,3.901363879007612e7,20500.,2.4195530781230226e7,4.8728100500541285e7,7.286079624010243e7,6.229693704067777e7,6.084104617578201e7,3.952206009230107e7,20500.
24,2.419505283537347e7,3.53611385235619e7,5.70996697289021e7,4.951616087776539e7,4.8240142063098565e7,2.4621596608209673e7,20500.,477.945856757462,310867.5904971957,515042.7387589663,222964.16676738113,215049.75894016773,219002.28698286787,0.,4003,98846,22206,72639,76642,233505,4004,2.419457488951671e7,3.505027093306471e7,5.6584626990143135e7,4.9293196710998006e7,4.80250923041584e7,2.4402594321226805e7,20500.,2.4195530781230226e7,3.56720061140591e7,5.761471246766107e7,4.973912504453277e7,4.845519182203873e7,2.484059889519254e7,20500.
32,2.419505283537347e7,2.317659814283934e7,4.2887771534044296e7,3.976655785906256e7,3.8826218288898736e7,1.4981202166738277e7,20500.,477.945856757462,277223.76665047184,408290.72326660156,175905.26725697517,167392.50181368738,162448.23875966482,0.,4003,80230,17066,59161,63164,211793,4004,2.419457488951671e7,2.2899374376188867e7,4.2479480810777694e7,3.9590652591805585e7,3.865882578708505e7,1.4818753927978612e7,20500.,2.4195530781230226e7,2.345382190948981e7,4.32960622573109e7,3.9942463126319535e7,3.899361079071242e7,1.5143650405497942e7,20500.
48,2.419505308518611e7,1.332737031491201e7,3.235924537557103e7,3.1378252382759783e7,3.0865622999591656e7,8.244028645608621e6,20500.,477.94532815366983,227232.97098348476,269654.84299845994,119140.36633956432,111118.37104102224,109150.07697319519,0.,4003,64780,13353,47424,51427,197011,4004,2.4194575139857955e7,1.3100137343928525e7,3.208959053257257e7,3.125911201642022e7,3.0754504628550634e7,8.1348785686354255e6,20500.,2.4195531030514263e7,1.3554603285895495e7,3.262890021856949e7,3.1497392749099348e7,3.097674137063268e7,8.353178722581816e6,20500.
64,2.419505283537347e7,9.775313703577733e6,2.8981511140819963e7,2.8353984624873344e7,2.806348326956944e7,6.42511205060266e6,20500.,477.945856757462,173271.3932409715,191290.81184004992,85355.78007294983,79075.00251222402,83701.42462788336,0.,4003,61743,12342,45398,49401,192480,4004,2.419457488951671e7,9.602042310336761e6,2.8790220328979913e7,2.8268628844800394e7,2.7984408267057218e7,6.341410625974776e6,20500.,2.4195530781230226e7,9.948585096818704e6,2.9172801952660013e7,2.8439340404946294e7,2.8142558272081666e7,6.508813475230543e6,20500.
80,2.419505283537347e7,7.981691918301962e6,2.7524136976170912e7,2.7196268193807837e7,2.7003710088548403e7,5.755619707377351e6,20500.,477.945856757462,113292.92817970179,148695.5078637749,69070.27429839224,63964.19225382805,65284.14418250602,0.,4003,62425,12170,46252,50255,192603,4004,2.419457488951671e7,7.8683989901222605e6,2.7375441468307137e7,2.7127197919509444e7,2.6939745896294575e7,5.690335563194845e6,20500.,2.4195530781230226e7,8.094984846481664e6,2.7672832484034687e7,2.726533846810623e7,2.706767428080223e7,5.820903851559857e6,20500.
96,2.419505283537347e7,6.732799772861109e6,2.6702377622377623e7,2.6218723785663623e7,2.609543223642842e7,5.042105403632165e6,20500.,477.945856757462,96903.3398414012,125007.87251408398,57658.077753510326,53059.636279203,57769.17302317545,0.,4003,59435,11726,43707,47710,190520,4004,2.419457488951671e7,6.635896433019708e6,2.657736974986354e7,2.6161065707910113e7,2.6042372600149218e7,4.9843362306089895e6,20500.,2.4195530781230226e7,6.82970311270251e6,2.6827385494891707e7,2.6276381863417134e7,2.6148491872707624e7,5.09987457665534e6,20500.
112,2.4194920434673995e7,8.422602057509065e6,2.6338428522977784e7,2.5670430904869188e7,2.5592586819224857e7,5.357495922997382e6,20500.,466.77069088071585,303085.9338040631,116023.41451045498,49612.88980530575,45581.081932429224,109614.82789581921,0.,4003,59295,11794,43498,47501,194383,4004,2.4194453663983114e7,8.1195161237050025e6,2.622240510846733e7,2.5620818015063882e7,2.5547005737292428e7,5.247881095101562e6,20500.,2.4195387205364875e7,8.725687991313128e6,2.645445193748824e7,2.5720043794674493e7,2.5638167901157286e7,5.467110750893201e6,20500.
128,2.4194920434673995e7,5.745960865796451e6,2.5755608902745303e7,2.5296628826206483e7,2.5249871505603723e7,4.487723233144206e6,20500.,466.77069088071585,91462.0410889415,97990.40653942898,41590.79289312661,38170.32196768746,52720.968270001,0.,4003,58836,11547,43287,47290,193168,4004,2.4194453663983114e7,5.65449882470751e6,2.5657618496205874e7,2.5255038033313356e7,2.5211701183636036e7,4.435002264874205e6,20500.,2.4195387205364875e7,5.837422906885393e6,2.585359930928473e7,2.533821961909961e7,2.528804182757141e7,4.540444201414207e6,20500.
160,2.4194920434673995e7,5.582775223454944e6,2.5511223844069574e7,2.498873621083163e7,2.496625445566048e7,4.330551943342951e6,20500.,466.77069088071585,92236.50605662353,92487.53606825322,37063.83990377933,33904.48725618422,51676.25194700807,0.,4003,57506,11441,42062,46065,194433,4004,2.4194453663983114e7,5.49053871739832e6,2.541873630800132e7,2.495167237092785e7,2.4932349968404297e7,4.278875691395943e6,20500.,2.4195387205364875e7,5.675011729511567e6,2.5603711380137827e7,2.502580005073541e7,2.5000158942916665e7,4.382228195289959e6,20500.
192,2.4194920434673995e7,5.094075917095921e6,2.5223973448184e7,2.4645312938388627e7,2.465279120403437e7,4.0884382561632483e6,20500.,466.77069088071585,82648.15896097105,83917.80721324682,29271.268206059933,26760.110595792532,48170.221458160784,0.,4003,57464,11261,42200,46203,193080,4004,2.4194453663983114e7,5.01142775813495e6,2.514005564097075e7,2.4616041670182567e7,2.4626031093438577e7,4.0402680347050875e6,20500.,2.4195387205364875e7,5.176724076056892e6,2.5307891255397245e7,2.4674584206594687e7,2.4679551314630162e7,4.136608477621409e6,20500.
254,2.4194920434673995e7,4.8656402588497475e6,2.468268693913816e7,2.417369403626065e7,2.422199882115548e7,4.0325836352454145e6,20500.,466.77069088071585,94849.64818172064,62561.47436673567,12621.95848749578,11548.923282731324,49865.54267269792,0.,4003,58335,11255,43077,47080,193489,4004,2.4194453663983114e7,4.770790610668027e6,2.4620125464771423e7,2.4161072077773154e7,2.421044989787275e7,3.9827180925727165e6,20500.,2.4195387205364875e7,4.960489907031468e6,2.4745248413504895e7,2.4186315994748145e7,2.4233547744438212e7,4.0824491779181124e6,20500.
