nas,label,cobas,Ecobas,cfs,Ecfs,ratio,count
bt.A,BT~A,14.8402,0.02086429835936876,14.5068,0.017075381445369686,0.977533995498713,50
bt.B,BT~B,65.0458,0.06675902046828242,64.5306,0.16603519738663408,0.9920794271113585,50
bt.C,BT~C,265.0152,0.09592367119194023,264.1236,0.19637408023476155,0.9966356646713095,50
cg.A,CG~A,0.505,0.014652444812889742,0.47039999999999993,0.0005625638777941866,0.9314851485148513,50
cg.B,CG~B,21.146400000000003,0.03368422174193242,20.999200000000002,0.023279089937595643,0.9930390042749593,50
cg.C,CG~C,60.520599999999995,0.017941235030079383,60.093999999999994,0.01467211819159786,0.9929511604313241,50
ep.A,EP~A,2.1444,0.0017377366589563792,2.1326,0.002209600479260221,0.9944972952807312,50
ep.B,EP~B,8.5524,0.005583287068114728,8.523399999999999,0.00868128148156444,0.9966091389551469,50
ep.C,EP~C,34.188,0.024366496123313652,34.0668,0.02390510376199728,0.9964548964548964,50
ft.A,FT~A,0.9168000000000001,0.0021049212888808455,0.9032000000000001,0.0013391698899168913,0.9851657940663178,50
ft.B,FT~B,11.720999999999998,0.022932457790584948,11.623,0.01212900962621255,0.9916389386571113,50
is.A,IS~A,0.1606,0.0006817823947232182,0.16,0.,0.9962640099626401,50
is.B,IS~B,0.7173999999999999,0.0016045813611074156,0.7134,0.0013599334520021378,0.9944243100083637,50
is.C,IS~C,3.045,0.0018382228439723924,3.0394,0.0020226564182901363,0.9981609195402299,50
lu.A,LU~A,9.0698,0.016009716153870812,9.0084,0.026444990416981895,0.9932302807118127,50
lu.B,LU~B,58.95179999999999,0.3289283750726568,59.2794,0.3227428903575529,1.005557082226497,50
lu.C,LU~C,384.9274,0.059919242848820886,383.92699999999996,0.11213894319286055,0.9974010683573058,50
mg.A,MG~A,0.7728,0.007263576209737388,0.7604000000000001,0.000803830094851743,0.9839544513457558,50
mg.B,MG~B,3.6014,0.013180917876673526,3.5671999999999993,0.0036782386388867216,0.9905036930082745,50
sp.A,SP~A,15.1556,0.022576854961636528,15.1226,0.019780024476535374,0.9978225870305367,50
sp.B,SP~B,100.6054,0.13744037548727306,100.55120000000001,0.11448301615986622,0.9994612615227414,50
sp.C,SP~C,476.18240000000003,0.05450498387398284,475.31460000000004,0.1072861239738927,0.998177589091911,50
ua.A,UA~A,12.731399999999999,0.0324644629997497,12.312000000000001,0.0176969339025419,0.9670578255337199,50
ua.B,UA~B,59.06379999999999,0.084544389915294,58.3484,0.08408001313522817,0.9878876740067521,50
